hour,order_count,order_percentage
0,2394,2.4074576884785954
1,1170,1.1765770657978099
2,510,0.5128669261169939
3,272,0.2735290272623968
4,206,0.2071580132943152
5,188,0.18905682766665663
6,502,0.5048219547269235
7,1231,1.2379199726470973
8,2967,2.9836787642923945
9,4785,4.811898512685914
10,6177,6.21172353455818
11,6578,6.614977725485464
12,5995,6.028700435434076
13,6518,6.554640440059935
14,6569,6.605927132671635
15,6454,6.490280668939372
16,6675,6.712523003590068
17,6150,6.184571756116692
18,5769,5.801429993664585
19,5982,6.015627356925212
20,6193,6.227813477338321
21,6217,6.251948391508533
22,5816,5.848694200581249
23,4123,4.1461771301575805
